schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt,github_stars_fetched_at,github_evidence_type
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14287,"Acoustic UAV Detection in Battlefield Scenarios: Handling Noise, Domain Shift, and Weak Labels",Vadym Vilhurin; Volodymyr Sydorskyi; Andrii Shevtsov,https://arxiv.org/abs/2608.14287,,,2026-08-14T13:20:46+00:00,2026-08-17T04:34:40.789533+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14286,"Seeing Red, Thinking Bad: Color Bias in Vision Language Models",Kohsuke Ide; Ryousuke Yamada; Yoshihiro Fukuhara; Hirokatsu Kataoka; Yutaka Satoh,https://arxiv.org/abs/2608.14286,https://github.com/KohsukeIde/color-bias-vlm,0,2026-08-14T13:14:58+00:00,2026-08-17T04:34:40.805059+00:00,2026-08-17T04:34:37.530096+00:00,authoritative_paper_page
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14277,SimpleOPD: Simple Tokenizer-Agnostic On-Policy Distillation for Long-Context Reasoning,Haonan He; Haodi Lei; Yun Luo; Haoran Zhang; Shunkai Zhang; Yizhuo Li; Shengji Tang; Zhilin Wang; Runzhe Zhan; Lei Bai; Ganqu Cui; Fangchen Yu; Yafu Li; Peng Ye; Ning Ding; Yu Cheng,https://arxiv.org/abs/2608.14277,,,2026-08-14T12:57:02+00:00,2026-08-17T04:34:40.816442+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14270,TimeSage-EV: A Live Benchmark for Agentic Time Series Analysis in Evolving Environments,Qingren Yao; Yaxuan Kong; Yuqi Nie; Yichen Li; Stefan Zohren; Anna Vettoruzzo; Qingsong Wen; Ming Jin; Joaquin Vanschoren,https://arxiv.org/abs/2608.14270,,,2026-08-14T12:53:21+00:00,2026-08-17T04:34:40.831351+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14264,Multi-Objective Bayesian Optimization for Model Merging,Utkarsh Agarwal; Vamshi Bonagiri; Raul Astudillo; Monojit Choudhury,https://arxiv.org/abs/2608.14264,,,2026-08-14T12:41:37+00:00,2026-08-17T04:34:40.848335+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14254,Meteorology-driven Causal Nowcasting of Fugitive Landfill Emissions Enables Proactive Public Health Response,Timothy C. Pearce; David J. T. Smith; Alec Dobney; Alessia Freddo,https://arxiv.org/abs/2608.14254,,,2026-08-14T12:32:12+00:00,2026-08-17T04:34:40.861641+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14252,Grounding Without Corrective Control: Truth-Tracking Profiles for Large Language Models,Brett Reynolds,https://arxiv.org/abs/2608.14252,,,2026-08-14T12:30:19+00:00,2026-08-17T04:34:40.882166+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14246,Polaris : Multi Agentic System for Conversational Enterprise Analytics,Varuni H K; Soham Sarkar; Jay Kumar; Goutham Krishnan; Tanvi Johari; Avinash Bharadwaj; Santosh Hegde,https://arxiv.org/abs/2608.14246,,,2026-08-14T12:26:41+00:00,2026-08-17T04:34:40.892732+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14227,Attributing Preprocessing Invariance in Spectral Foundation Models,Dongjun Wei; Hongyi Wu; Yinuo Zou,https://arxiv.org/abs/2608.14227,,,2026-08-14T12:01:27+00:00,2026-08-17T04:34:40.902104+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14221,MathForm: Scaling Mathematical Autoformalization with Knowledge Retrieval and Verification-Guided Refinement,Lushi Pu; Weiming Zhang; Xinheng Xie; Zixuan Fu; Bingxiang He; Hengyu Zhao; Hongya Lyu; Xin Li; Jie Zhou; Yudong Wang,https://arxiv.org/abs/2608.14221,,,2026-08-14T11:51:12+00:00,2026-08-17T04:34:40.912647+00:00,,
